date,Q1,Q3,Q5,Q5_timed,Q5_minus_Q1,Q5_minus_Q1_timed,EW_universe,EW_universe_timed,lead_signal,timing_indicator
2007-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.005246053448864927,,0.012578809494958359,
2007-04-25,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022041548980885977,-0.001254946256492379,-0.004533991605963452,1.0
2007-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.001950752026017958,0.0011138164793715439,0.0030997511999621683,1.0
2007-04-27,0.0,0.0,0.0,0.0,0.0,0.0,-0.006244100737041842,-0.0035651800982464715,-0.007991278114352757,1.0
2007-04-30,0.0,0.0,0.0,0.0,0.0,0.0,-0.020853089068360902,-0.011940075192367935,-0.0077555102070540945,1.0
2007-05-02,0.0,0.0,0.0,0.0,0.0,0.0,-0.00857596670702116,-0.004896600345621758,-0.008424074065700358,1.0
2007-05-03,0.0,0.0,0.0,0.0,0.0,0.0,-0.02137548538461165,-0.012239189212156672,-0.001285887062481254,1.0
2007-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.015030120867891754,0.008630198433821719,0.020012250024311864,1.0
2007-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.012091777009010613,0.006943020347109321,0.007398566774352869,1.0
2007-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.004361400902711171,0.0025042882602664147,0.0011903990525797487,1.0
2007-05-09,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010741270127278865,-0.0006167568008566571,-0.005342922778638126,1.0
2007-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.007887308051584193,0.004528841397361245,0.010099742303367484,1.0
2007-05-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014302677351938624,-0.0008212505060145403,-0.005486857261790969,1.0
2007-05-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.003712967458089761,-0.0021259733026159117,-0.0030844712989191716,1.0
2007-05-15,0.0,0.0,0.0,0.0,0.0,0.0,-0.008413417484517684,-0.00480378998309558,-0.01136478695104007,1.0
2007-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.002911785245927314,0.0,0.002139104440319276,0.0
2007-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0032055906172274193,0.0,0.012356804324069716,0.0
2007-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.001739759789244207,0.0009933467183749181,0.010956912297255542,1.0
2007-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.010712698707493064,0.006116605391052491,0.010954021144923115,1.0
2007-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.007914068745306212,0.004531442588038234,0.0011633795260587833,1.0
2007-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.005438175113145199,0.003122565064967243,0.00604306850191863,1.0
2007-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.004842200510968741,0.0027803602933949537,0.009100598748048626,1.0
2007-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.003755900827493036,0.0021505561189677867,-0.004291770248342886,1.0
2007-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.002563052439530499,0.0014634202638609626,-0.004556053472487874,1.0
2007-05-29,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031279115153165266,-0.0017960266120204578,0.00835191169599051,1.0
2007-05-30,0.0,0.0,0.0,0.0,0.0,0.0,-1.03692191336255e-05,-5.9539387283399225e-06,-1.1143109628614263e-05,1.0
2007-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.01415968789551375,0.008130401436778862,0.01425856958747942,1.0
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.006501585299264516,0.0037331683331260765,0.02035609516254459,1.0
2007-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.013319686052450621,0.007648077797858745,0.013943983694324341,1.0
2007-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0064958006300188265,0.0037403239111560016,0.001839921653855531,1.0
2007-06-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.005119424315228145,-0.002947797549252335,-0.004888521141517864,1.0
2007-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.01153869463450842,0.006644054813741139,0.010799002740721677,1.0
2007-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.005377648842018575,0.0031051585249075,0.010761103378612972,1.0
2007-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.011587280742878927,0.006690720170888153,0.010658633625282285,1.0
2007-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.009194354617678731,0.005308998311498364,-0.004965444767144158,1.0
2007-06-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.00031749782761621913,-0.0001833293907848491,-0.00070405127340475,1.0
2007-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.005202026381797164,0.003003750717231266,0.008633234648388725,1.0
2007-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0004626230460016059,0.0002663813345525376,0.006694834394385988,1.0
2007-06-20,0.0,0.0,0.0,0.0,0.0,0.0,-0.009378070664915817,-0.005399953592540236,0.010774902758055805,1.0
2007-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0076245714483143285,0.0043902774307229275,0.014288428268228815,1.0
2007-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.018243329092173986,0.010504626590171148,0.01437794459531266,1.0
2007-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.010851170275137038,0.006265675739514613,0.006072730710156807,1.0
2007-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.00631953585834331,0.003649022318204685,0.015061607275630145,1.0
2007-06-26,0.0,0.0,0.0,0.0,0.0,0.0,-0.00704715279956421,-0.00408052879845734,-0.016185076271204683,1.0
2007-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.007562950785529127,0.004379192470975736,0.003466651231772247,1.0
2007-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.008376611644206656,0.004850328355274499,0.004763108195458334,1.0
2007-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0012801928042345569,0.0007392081030902768,0.004549655813926349,1.0
2007-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.006071577854561974,0.003505846567634172,0.00282400522410701,1.0
2007-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.008114910248237146,0.0046987948050276375,0.011078534229762913,1.0
2007-07-04,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014477116162201573,-0.0008382717261661879,0.005340784345226372,1.0
2007-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.013015258896426666,0.007536254748092215,0.005851569268293229,1.0
2007-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.015384751835666594,0.008933081711032215,-0.0032183307897138743,1.0
2007-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.018464485449109592,0.010721314131741055,0.0242814041690439,1.0
2007-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.009284278788282939,0.005390871554486868,0.007004003982217531,1.0
2007-07-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.000496590726910715,-0.0002875420499370105,-0.003356338577058057,1.0
2007-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.008809256591696171,0.005086635257785854,0.0020869326100627066,1.0
2007-07-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.006587456994540309,-0.003814350098451566,0.011314382925643103,1.0
2007-07-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.007558514664428626,-0.004364432661073303,-0.013907796736153449,1.0
2007-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.014142822965892008,0.008143528707779752,0.009373333945038583,1.0
2007-07-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018751437944071229,-0.0010857687454712212,-0.010698083600054444,1.0
2007-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.008900278141406339,0.005139192862295918,0.00022234344192136653,1.0
