A,B,n,beta_AB,t_AB,p_AB,L_strict,L_loose,S_undir,A_name,B_name
1000,2000,4245,0.04794512202450232,1.3265219236422452,0.18466687819445438,0,0,0,水泥,造紙
1000,3000,4245,-0.008356606152356201,-0.3001782957685454,0.7640411595926324,0,0,0,水泥,汽車
1000,4100,4245,-0.013741105658787929,-0.3618968709772626,0.7174290982881906,0,0,0,水泥,太空衛星科技
1000,5100,4245,-0.0030251401569597438,-0.07998514062098744,0.9362490741693638,0,0,0,水泥,區塊鏈
1000,5200,4245,-0.02660761504204168,-0.7317783289820502,0.4643038782758334,0,0,0,水泥,金融科技
1000,5300,4245,-0.01031299538436184,-0.316051673878654,0.7519632866403958,0,0,0,水泥,人工智慧
1000,5400,4245,-0.02650690424868496,-0.9156978265461451,0.35982540531021623,0,0,0,水泥,雲端運算
1000,5500,4245,-0.03621243016702351,-1.227398939936184,0.21967268464566314,0,0,0,水泥,資通訊安全
1000,5600,4245,-0.0262815731952647,-0.8779140621824756,0.37999035731027153,0,0,0,水泥,大數據
1000,5700,4245,-0.006286414245086926,-0.1751306225753432,0.8609769967607642,0,0,0,水泥,體驗科技
1000,5800,4245,-0.010252255285862686,-0.3367315554224035,0.7363192733696144,0,0,0,水泥,運動科技
1000,6000,4245,0.0031512974971864673,0.08836781795858009,0.9295843387540705,0,0,0,水泥,自動化
1000,B000,4245,-0.02285076861332265,-0.8625199290533815,0.38840147118865287,0,0,0,水泥,休閒娛樂
1000,C100,4245,0.02562107197227432,0.6273402915190086,0.5304361976160372,0,0,0,水泥,製藥
1000,C200,4245,-0.012298208465100375,-0.4271292166654464,0.6692852136639085,0,0,0,水泥,醫療器材
1000,C300,4245,0.007960522586414054,0.2425164221497819,0.8083800335605438,0,0,0,水泥,食品生技
1000,C400,4245,-0.0024627631294746074,-0.05661861925810083,0.954849002312846,0,0,0,水泥,再生醫療
1000,D000,4245,0.02872746370249124,0.72473807898227,0.46861272959140976,0,0,0,水泥,半導體
1000,F000,4245,-0.005056099389412341,-0.1426714628716676,0.886549655444811,0,0,0,水泥,電腦週邊
1000,G000,4245,-0.020737534239891935,-0.5825181562170502,0.5602177155380437,0,0,0,水泥,平面顯示器
1000,H000,4245,-0.00947290064954362,-0.2784229323056048,0.780687717750843,0,0,0,水泥,觸控面板
1000,I000,4245,-0.0285040110806543,-0.8298614607579189,0.4066171167180329,0,0,0,水泥,通信網路
1000,J000,4245,-0.04613455113533958,-1.2947943644903208,0.19539117658215555,0,0,0,水泥,被動元件
1000,K000,4245,-0.03559208412473575,-1.0754906939439948,0.28215509642826275,0,0,0,水泥,連接器
1000,L000,4245,-0.012291816825942315,-0.35433419974625696,0.7230884404904538,0,0,0,水泥,印刷電路板
1000,M000,4245,0.051811256622118475,1.846330572170358,0.06484422129220592,0,0,0,水泥,食品
1000,N000,4245,0.02369102111289408,0.8330273743109976,0.4048292908817265,0,0,0,水泥,石化及塑橡膠
1000,O000,4245,0.010255735678109805,0.399186668309172,0.6897556657211685,0,0,0,水泥,紡織
1000,P000,4245,-0.0015041078103692888,-0.06358650966762484,0.9492994737289939,0,0,0,水泥,電機機械
1000,Q000,4245,0.03784606735276237,1.2397050237872642,0.21508451830103725,0,0,0,水泥,鋼鐵
1000,R000,4245,-0.013091233527847239,-0.510687529049156,0.6095698745853144,0,0,0,水泥,軟體服務
1000,R300,4245,-0.027493199587701623,-0.9230729343552604,0.355969198232276,0,0,0,水泥,電子商務
1000,S000,4245,0.01748268533352303,0.5769847875204115,0.563949732072617,1,3,3,水泥,建材營造
